Tijuca 1,rjtijuca1@spadassobrancelhas.com.br,"Rua Conde de Bonfim, 255 - Sala 607 ",Rio de Janeiro,RJ,21,3062-0800,21,2204-0835,Inaugurada
Centro 1,rjcentro1@spadassobrancelhas.com.br,"Rua Sete de Setembro, 88 - Loja Q - Centro",Rio de Janeiro,RJ,21,2507-9887,21,2210-0694,Inaugurada
Copacabana 1,copacabana1@spadassobrancelhas.com.br,"Rua Santa Clara, 33 - Sala 416 ",Rio de Janeiro,RJ,21,2547-4549,,,Inaugurada
Barra 1,barra1@spadassobrancelhas.com.br,"Av. Marechal Henrique Lott, 333 - Bloco 2 - Sala 304",Rio de Janeiro,RJ,21,2499-3428,21,3388-5982,Inaugurada
Taquara 1,taquara1@spadassobrancelhas.com.br,"Av. Nelson Cardoso, 1.149 - Sala 710 ",Rio de Janeiro,RJ,21,3023-2130,21,2427-3723,Inaugurada
Freguesia 1,freguesia1@spadassobrancelhas.com.br,"Estrada dos Três Rios, 93 - Sala 302 ",Rio de Janeiro,RJ,21,3529-3100,21,3529-3101,Inaugurada
Bonsucesso 1,bonsucesso1@spadassobrancelhas.com.br,"Av. Guilherme Maxwell, 516 - Loja 204",Rio de Janeiro,RJ,21,2290-9380,21,3105-5492,Inaugurada
Recreio 1,recreio1@spadassobrancelhas.com.br,"Av. Alfredo Baltazar da Silveira, 580 - Loja 116 B ",Rio de Janeiro,RJ,21,2199-2059,,,Inaugurada
Largo do Machado 1,largodomachado1@spadassobrancelhas.com.br,"Rua Dois de Dezembro, 38 - Sala 105",Rio de Janeiro,RJ,21,2205-8229,,,Inaugurada
Méier 2,meier2@spadassobrancelhas.com.br,"Rua Dias da Cruz, 188 - Loja 210 ",Rio de Janeiro,RJ,21,2229-3423,,,Inaugurada
Norte Shopping 1,norteshopping1@spadassobrancelhas.com.br,"Av. Dom Helder Câmara, 5.200 - Sala 301 - Cachambi",Rio de Janeiro,RJ,21,3977-3225,,,Inaugurada
Barra 2,barra2@spadassobrancelhas.com.br,"Av. Olegário Maciel, 101 - Sala 211 ",Rio de Janeiro,RJ,21,2147-7487,21,2147-7483,Inaugurada
